run_id,reward,optimizer,P,Cs_h,Cs_s,Cs_b,Cm_f,Cm_p,Cm_m,Cm_n,Ci_s,Ci_p,Ci_0,Ca_h,Ca_m,Ca_l,Cd_r,Cd_ret,Cd_rec,W,B,F_m,F_s,I,R_p,R_c,Vq,G,Sc
1,-0.04804146662354469,BO,135.17007967068244,81.45343180892421,70.04946545572041,47.38577710533462,72.62723014903449,52.67678543400053,43.24801833271287,21.452076978657782,89.41709587604392,22.5546060686291,3.457246756032163,87.78640440174618,16.634063587481993,7.859165550799926,37.06394647862074,53.97617712554808,59.55073419929369,105.67985973358923,22.70056838759966,286.6328919620182,95.94155513530846,30.972622341218408,29.968954326320684,127.06657131225565,57.264652231814146,154.39957118449703,97.02006824535238
2,-0.03624795377254486,BO,156.04838827256788,67.56874566362801,58.89931099072416,47.75063847454822,68.06398067217538,65.37925263719674,20.679785975610656,4.217946959627647,76.97911734493941,12.586765791379644,11.3939864446163,66.30752091325141,18.095182884943465,14.524544918021169,28.038675749104822,40.25101130326517,93.27828371507468,54.86132220623788,117.53109989876523,292.4194830932697,91.34690569037942,16.363061608014043,50.07701137736694,111.78676230189711,133.6227352646253,61.78558796751608,108.60739043738968
3,-0.07075320929288864,BO,148.18835539008805,79.48734204255403,60.88824023016496,14.166039107132397,46.14139998819397,42.4179415006419,38.198256433187105,17.40081323060349,87.84226214478521,9.283935647317755,2.6803421369234712,87.15089437258136,31.126453392638933,28.39560331369854,22.65628885661737,36.70894874521977,42.66811980968373,154.67193332484288,135.594114113359,49.722049210506825,190.06061917058108,51.5765254968859,69.88107465866557,193.67717258045866,186.65648529748637,114.55245604211127,94.65725683503669
4,-0.030925724655389786,BO,156.90357865433202,78.16731374228544,64.0561035291036,20.392806703406926,53.22246508009744,50.96682747046138,27.426713879107588,25.064448000833693,47.94036026871135,9.445460605861797,3.7618499973222472,89.84037735096223,12.129983778866134,5.959313323599986,18.655435646226636,37.48884821784022,75.99822659158104,113.11587096723535,131.45568039025022,293.4754141142424,132.26092472488213,53.84348665188542,22.06936348916264,70.80643717639948,187.75494713831498,120.73277189246056,39.51064378322097
5,-0.0397053137421608,BO,195.05782989861206,69.37689726723112,58.03911046117985,36.143029438718074,68.2471850628832,64.7979785381354,32.78832540372008,7.668562292688426,58.00784094191469,13.531882252710577,8.622222796219937,65.24500259263317,17.65502769505012,8.541907166661153,24.396208302498593,30.18277636012173,34.38108087968499,47.58236312312711,62.54620526730663,235.48894611376153,141.1366478163163,47.41837911019484,66.10682487688547,112.75997131621759,110.98828657490175,67.60887859753721,57.32115516591339
6,-0.09778402000665665,BO,449.98777932159186,90.64205035883455,64.67262213703202,22.251995558608087,45.92422768268511,33.38603084436995,22.347724942861582,20.461053012478022,73.52335508398028,27.220719223365307,2.2908539292602335,66.20090687035974,19.13443577186565,12.22870807420305,29.80391930916806,34.80339265453266,78.78510818632896,182.2130965171146,50.55539023023998,254.33854099329045,93.84740840634555,69.98638339812653,30.312743044150466,135.06519632727054,184.16367140429364,86.23892730152023,79.98950323001914
7,-0.31281206011772156,BO,425.5863840422044,97.17248853692777,90.93566245207637,49.43042222110404,66.84610907306626,32.27478926347192,17.586504245295906,6.35112581905029,77.32134435171051,22.129877857733902,6.963203525380441,81.11305555723379,15.008455237809525,5.0705445415763135,13.408108285417025,35.33974914793649,56.06567969077485,143.49612350317437,174.07109914971699,204.28747696139058,121.08964487551941,36.88222188809672,54.70275493025383,210.89717715516383,215.2633901136,132.67251331966753,50.795051231546424
8,-0.09968161582946777,BO,221.14013219284206,94.89452195772913,93.18284205133831,20.98861098160522,63.745183039909485,50.52047676619988,31.39443912299186,23.95323073924557,85.22388158029874,15.416539579380213,2.878888084732184,83.15606239544185,21.2966012381971,5.287727333146042,34.14156420000633,36.16058429018335,38.30550390386152,89.13881270472018,164.78478321845535,279.96436948111966,73.97924676002131,24.513797229745443,10.430150834881195,170.99681111326294,211.59386547981694,56.37897995734012,78.91634866419281
9,-0.035439975559711456,BO,181.5514047224137,68.33480408628488,60.37630757666015,51.18606458934248,39.49121539479114,39.15517744707018,32.002035997430056,15.123588451815817,73.5726586588255,13.015678925683435,8.226172478461475,89.88590528820316,31.08057968387028,6.8030201945874715,17.21724164466236,50.71692926496597,61.6319229960341,158.8358217802566,89.49357643237333,170.13356678914965,108.184960805766,57.095797311755476,42.505843033564226,88.2905369033453,90.98285547574925,107.85246411812454,89.27214245921118
10,-0.1542554497718811,BO,369.68759992639855,66.8415286728455,47.28664437290831,45.839492352660066,92.8150371295759,48.88907140678471,27.230751759292538,26.79320665343535,62.47255890055848,28.05369382641181,6.402704066486048,61.434498043058014,22.794789463181452,14.48450904013084,18.07153397668577,41.69775409700934,51.69502039531758,203.2706817362988,112.18661755473391,185.2481661545757,87.22879408480738,50.164463928235605,12.39441542833704,160.4770768781151,176.5057923544444,63.16219463200965,58.143558668627534
11,-0.18705105781555176,BO,448.43329473831096,67.33241676215823,59.55193848363571,33.28669039108438,51.77601912265593,36.22235861856931,34.235424320376204,13.34612508873737,89.18985587127614,20.531856673385825,7.174985733364925,32.98856114866035,17.172305668045,14.41548861900001,23.315118793886906,51.91489058878934,64.36951620083155,217.39529305449952,72.92862743705228,152.97035786454347,46.160780730643765,7.050179893166225,26.487261250714074,119.97489033640207,210.9463354183203,32.43326844249995,97.74126007785736
12,-0.19145095348358154,BO,426.13350237897055,107.32999746030981,81.0839009325235,42.03774423817106,67.85131115395794,45.16484832745856,43.261528052157445,11.708135004065554,60.45709859374033,9.885708476789107,9.814718536621113,72.79926961490526,19.042509647702154,6.751196842700366,15.814312043073421,51.37264673870659,66.51810200285755,42.763524022661755,95.19316135087189,312.39880086522936,123.67665442903153,21.667352788519246,61.2291829851989,130.29656221155398,151.96626228535496,90.2014600771279,94.58083105710324
13,-0.03655776381492615,BO,230.4245082291851,94.64995969770789,91.62125665048337,43.70248429450734,62.69323366910884,53.07258480878006,20.80111088662087,12.660073002771686,86.38251655823872,8.898682106976905,1.1915996045436728,85.55108155558375,28.614789945046617,27.966736254901466,24.428537715700223,50.776434457003894,93.62737855326759,93.35640361739601,55.370358189433865,234.29848969667935,122.3409757631466,32.486393991066436,38.489790456657886,77.18466327330341,151.40080159320334,91.71573085352807,85.4953259244715
14,-0.04495922848582268,BO,189.72588281638122,84.8166731139533,60.138453050689606,35.6600059952743,61.63979088808534,53.37461134212456,40.920899262271384,13.583952100413963,79.8657347028517,19.103069272172554,10.783511852721073,84.7364660866615,30.001061973912257,17.215259516228585,23.149233476507455,34.01582568596179,59.94758588194427,142.71756791493485,72.62354609759436,181.31989642841643,195.82527326083772,27.165959928841083,32.91807822237545,121.6223511476043,132.580683012274,91.251053517826,31.188497577384645
15,-0.08799109607934952,BO,148.49517613597862,105.90194069847679,77.87738163175143,16.888793768939223,70.40954210094634,46.11968563638246,37.220567704854375,17.704474435978888,70.300657110238,15.025053537548413,9.638064126698481,63.65080396395702,18.63891820957132,18.21445558253815,29.469282223356196,34.10181074449169,37.657954936805396,128.05281953331075,53.71904000857651,254.41944851813588,190.8986504678633,10.749909992925737,49.246014820117026,181.24535182367893,150.64713108560764,69.28157318764715,94.2425851549199
16,-0.11818163841962814,BO,301.3897155747562,128.4373071791447,92.1563089270588,54.78030823420373,46.79565900108535,36.28359658026851,33.9436043569625,22.33203032621175,78.84948423459474,14.738063038636453,8.593856524113285,45.08416054162553,16.878148764851133,13.57101613110932,23.279538257592904,56.66559356104721,65.2901682289285,118.99475509056973,30.337357112580396,256.8406649126074,102.10354815500926,47.27036381025563,35.899133864691436,150.8515674635359,205.21993412658736,47.5708039674046,36.782630523917604
17,-0.03092052787542343,BO,154.44849724081644,61.31678503244099,57.708865219909555,23.733564082297324,63.487725686958456,49.81000374294708,40.08894340224102,10.038618431249189,86.86074147653602,30.398716798011105,12.612270150296231,86.39025414156188,21.143873323174095,12.881999486956833,27.469529470646357,35.351353632709525,72.8610639265141,111.67158921283149,135.2120496822354,291.2099935730922,152.09343160301606,6.3703306813862035,65.00124750348454,97.9246382318509,132.84927589875178,68.15233292013448,74.22187379729992
