run_id,reward,optimizer,P,Cs_h,Cs_s,Cs_b,Cm_f,Cm_p,Cm_m,Cm_n,Ci_s,Ci_p,Ci_0,Ca_h,Ca_m,Ca_l,Cd_r,Cd_ret,Cd_rec,W,B,F_m,F_s,I,R_p,R_c,Vq,G,Sc
1,-0.014160623773932457,SAC,144.84957307577133,78.756422996521,76.71217679977417,36.358393132686615,61.56242996454239,46.81224822998047,42.55430579185486,7.652819037437439,40.718638837337494,24.43349599838257,7.5376917719841,73.06402742862701,41.66652703285217,10.460328608751297,35.41798174381256,39.4310359954834,86.3215720653534,151.2844181060791,35.579352378845215,236.05754137039185,133.24967741966248,64.03311014175415,39.48307752609253,57.007862627506256,101.46282434463501,172.3256278038025,135.46064853668213
2,-0.016462111845612526,SAC,148.97941768169403,83.6268150806427,74.0149188041687,23.666406959295273,58.32745119929314,56.31429135799408,43.76560926437378,20.63308346271515,41.2429678440094,21.56832981109619,7.24210798740387,46.60697162151337,27.573643654584885,16.17074340581894,17.598145008087158,34.24360990524292,76.75018310546875,88.27360421419144,151.9293975830078,195.66494464874268,159.88704919815063,52.58258759975433,43.70055437088013,62.8155317902565,61.38984680175781,158.67714524269104,134.83426570892334
3,-0.013240241445600986,SAC,122.63608127832413,68.74990463256836,58.65713894367218,44.64636790752411,60.09104833006859,45.18618106842041,41.03962063789368,16.052287697792053,62.56059944629669,43.350878059864044,9.244629621505737,41.199082016944885,23.927315771579742,16.332164704799652,32.67961800098419,33.713632106781006,77.10506021976471,93.54340612888336,160.999116897583,265.01965284347534,195.3689408302307,13.712357729673386,55.560070276260376,67.16500639915466,134.5463228225708,148.4302806854248,139.2880392074585
4,-0.01853601634502411,SAC,193.9156848192215,75.82282543182373,69.00272130966187,42.77680826187134,62.13469624519348,49.00166988372803,38.57314050197601,27.744349718093872,46.042330861091614,18.25648981332779,4.0195905566215515,52.29404127597809,50.16006737947464,10.267933756113052,16.32800668478012,18.98878526687622,50.74020862579346,185.03114104270935,55.8493709564209,308.6896777153015,152.34344363212585,18.012321442365646,28.29427480697632,56.07000708580017,158.97939920425415,153.27367305755615,138.5918116569519
5,-0.017897095531225204,SAC,141.96986496448517,85.0787627696991,70.39650678634644,33.28801813721657,47.40834325551987,38.054653853178024,24.709841012954712,17.766308665275574,35.13007217645645,27.73752897977829,12.851025581359863,45.23105990886688,33.6650887131691,28.07397425174713,38.49795877933502,45.537214279174805,87.84114956855774,114.81218099594116,71.7466926574707,257.843337059021,174.56478357315063,14.726287722587585,18.791015148162842,172.10043907165527,198.1087040901184,178.6536157131195,147.02054262161255
6,-0.021227318793535233,SAC,142.1754214167595,86.4223062992096,74.68546390533447,47.66584300994873,46.2067274749279,43.810723423957825,43.57050657272339,13.413730144500732,39.15339821577072,20.63843458890915,8.444727301597595,49.68679904937744,37.36071527004242,10.427919328212738,20.35422533750534,49.38065814971924,82.87133038043976,134.72866296768188,25.639019012451172,235.94947814941406,182.04909086227417,20.636723190546036,22.24865972995758,173.17928731441498,138.1692123413086,165.89606881141663,122.33806848526001
7,-0.014583349227905273,SAC,144.81195509433746,94.17757391929626,73.66372108459473,47.09625220298767,52.379310727119446,49.90383982658386,20.80765962600708,13.0105419754982,32.69818156957626,30.477152168750763,10.371132373809814,32.23158937692642,26.774435341358185,15.66896915435791,34.58419889211655,41.87805652618408,52.12453079223633,196.28405392169952,123.8520336151123,224.27603006362915,187.97821044921875,21.943135857582092,22.25129544734955,60.78931838274002,105.29537916183472,161.00744366645813,92.34909772872925
8,-0.044072967022657394,SAC,170.86723119020462,87.06977367401123,84.12573099136353,13.618386954069138,57.08843380212784,35.966090857982635,25.34597396850586,16.66845667362213,21.788654923439026,13.117720603942871,11.523992359638214,50.99455118179321,45.5309231877327,17.844307720661163,34.38770651817322,37.566013634204865,46.083048820495605,103.0300110578537,131.49785995483398,295.74872732162476,126.02863430976868,59.99451071023941,48.47372055053711,91.26875460147858,160.1172399520874,142.8918194770813,143.29402208328247
9,-0.02073253132402897,SAC,215.5825799703598,76.16205930709839,75.01240015029907,44.77612745761871,59.30227041244507,49.30410444736481,23.508477210998535,9.389515101909637,45.631540417671204,39.60218036174774,7.876140356063843,45.722113251686096,29.5308937728405,6.5853725373744965,38.54371041059494,46.21152877807617,82.64600396156311,97.30544716119766,21.654210090637207,303.84926319122314,156.60392880439758,42.922066152095795,55.53733229637146,72.81444698572159,187.6722764968872,139.21244144439697,146.71079754829407
10,-0.028627965599298477,SAC,293.8547319173813,65.23370623588562,64.58772897720337,48.48524171113968,89.01550531387329,46.72909036278725,36.13805294036865,10.926888018846512,22.63721615076065,11.938355267047882,8.444900870323181,37.09318721294403,24.93238776922226,20.560739636421204,19.82898473739624,30.946440398693085,81.99889719486237,181.93747758865356,93.68183135986328,307.86452531814575,163.03242206573486,16.931433826684952,55.20679473876953,110.14557421207428,212.44799613952637,164.55791234970093,68.11985909938812
