run_id,reward,optimizer,P,Cs_h,Cs_s,Cs_b,Cm_f,Cm_p,Cm_m,Cm_n,Ci_s,Ci_p,Ci_0,Ca_h,Ca_m,Ca_l,Cd_r,Cd_ret,Cd_rec,W,B,F_m,F_s,I,R_p,R_c,Vq,G,Sc
1,-0.0272248275578022,SAC,137.45833307504654,91.3120698928833,87.2037124633789,43.76603901386261,105.94718664884567,24.874583929777145,20.692968368530273,20.4222469329834,88.97317409515381,12.915293574333191,11.890981674194336,88.097403049469,20.482111275196075,13.915407866239548,24.97737020254135,50.13655662536621,54.24799346923828,206.39918982982635,49.44465160369873,195.67333936691284,171.31264805793762,18.718643486499786,48.00901532173157,191.94883108139038,200.64687252044678,90.03481149673462,100.88005065917969
2,-0.062329769134521484,SAC,266.6739159822464,78.83431673049927,64.23222839832306,52.87447613477707,60.417426228523254,29.497748613357544,26.79871827363968,26.103243112564087,69.36321675777435,13.559165954589844,9.9988431930542,81.26320958137512,19.18485713005066,14.399238973855972,18.989818692207336,46.81870073080063,49.05198955535889,108.7406849861145,116.1561393737793,148.66275072097778,175.2804183959961,34.13723185658455,32.445114850997925,89.87783163785934,39.92363929748535,99.28768992424011,33.14868986606598
3,-0.06863920390605927,SAC,229.55184280872345,65.40595054626465,63.99872422218323,42.75080406665802,102.45592504739761,48.44735145568848,37.99930587410927,25.105994820594788,61.19140923023224,14.492274761199951,13.593629091978073,80.38096725940704,22.132338881492615,14.544661462306976,13.28458234667778,47.36095905303955,54.61736297607422,186.37327551841736,62.04551696777344,155.5552315711975,82.65818357467651,55.24370223283768,43.81897211074829,204.86586809158325,93.66600036621094,124.40090715885162,41.44547522068024
4,-0.049030520021915436,SAC,210.93523979187012,73.84506940841675,72.6962161064148,40.16784882545471,95.41064262390137,47.66410827636719,23.152486830949783,20.186646163463593,84.52938497066498,24.202730298042297,12.702113628387451,75.20839810371399,14.738798439502716,14.100753754377365,32.11764335632324,52.39961242675781,58.10211777687073,103.66075038909912,48.53869438171387,244.93374586105347,162.0738649368286,54.16280686855316,50.032219886779785,132.24293887615204,66.33858799934387,99.82310652732849,30.53670585155487
5,-0.05936841666698456,SAC,189.62181597948074,76.89496040344238,76.79916858673096,45.93717658519745,92.21150487661362,24.62859183549881,15.543464422225952,10.760156691074371,74.37715411186218,10.378341376781464,3.128279685974121,79.4802874326706,17.330657988786697,16.495607882738113,16.77800863981247,56.40585136413574,80.90828895568848,158.77057313919067,90.62668800354004,113.01774263381958,146.02123022079468,52.85467594861984,26.686923503875732,170.3328549861908,139.28943395614624,38.04425835609436,36.31745398044586
6,-0.05775139480829239,SAC,433.144508600235,74.9591588973999,69.70274925231934,17.141040414571762,98.0307137966156,43.9237117767334,41.92363500595093,6.94868403673172,81.2047803401947,14.705209285020828,10.56530487537384,79.20890688896179,23.582460284233093,21.68689078092575,24.10700023174286,41.217018127441406,68.16583693027496,163.98375630378723,70.65063953399658,74.58607196807861,178.97997856140137,31.96545898914337,48.1844425201416,85.84804654121399,169.2043137550354,50.43468922376633,40.53155243396759
7,-0.03930388391017914,SAC,159.93800282478333,63.951170444488525,60.087809562683105,43.272528290748596,63.760942816734314,25.122519731521606,24.35333803296089,7.12643700838089,85.55837631225586,12.536749362945557,9.159289002418518,83.42446565628052,22.124931782484055,8.215250372886658,21.39898806810379,53.048914670944214,57.555747985839844,191.42648339271545,133.64079475402832,91.5856683254242,182.81298398971558,63.9294958114624,58.93883466720581,62.51776456832886,73.79161834716797,47.36499100923538,38.10475707054138
8,-0.05465007573366165,SAC,227.8314471244812,88.12878131866455,72.0392107963562,28.66989502310753,108.9459678530693,29.083542674779892,16.56387448310852,11.860278129577637,83.08556020259857,21.10589200258255,12.888341188430786,85.93587160110474,28.60362708568573,17.032137274742126,29.601542472839355,33.09598684310913,36.99059069156647,150.48010230064392,45.60354232788086,245.16717910766602,99.33635234832764,21.65592223405838,17.01007843017578,88.90539795160294,208.27390670776367,75.37666738033295,41.86793565750122
9,-0.05498424172401428,SAC,148.23057889938354,90.47650098800659,68.1558084487915,35.97010636329651,93.17220509052277,28.6508047580719,25.937999188899994,13.842029005289078,89.04171705245972,9.37318029999733,6.113129377365112,82.63984322547913,19.758398801088333,8.884582221508026,37.53428936004639,51.88813591003418,55.05424052476883,160.2305769920349,39.27365779876709,122.1236252784729,165.35330533981323,19.50131446123123,14.925390481948853,141.81854665279388,202.74610042572021,64.88774061203003,51.32727265357971
10,-0.06327830255031586,SAC,264.8787072300911,68.38812828063965,53.32387387752533,24.18647164106369,107.413769364357,38.38825702667236,32.069543302059174,21.451490998268127,82.5888741016388,16.840712755918503,7.33756411075592,73.67201447486877,22.43110418319702,20.869402796030045,15.135288089513779,44.095802307128906,77.56845951080322,179.92400407791138,70.36638259887695,81.0981035232544,129.4863772392273,16.31321147084236,36.1929976940155,208.94505560398102,161.211199760437,110.11765599250793,60.11438548564911
