run_id,reward,optimizer,P,Cs_h,Cs_s,Cs_b,Cm_f,Cm_p,Cm_m,Cm_n,Ci_s,Ci_p,Ci_0,Ca_h,Ca_m,Ca_l,Cd_r,Cd_ret,Cd_rec,W,B,F_m,F_s,I,R_p,R_c,Vq,G,Sc
1,-0.021059777587652206,SAC,156.15257173776627,128.75974655151367,47.00955152511597,39.65538215637207,106.05806916952133,35.89015007019043,27.729001939296722,16.97116929292679,78.54216933250427,15.974130630493164,3.7024550437927246,83.41403901576996,38.772977232933044,7.369491755962372,31.916464805603027,34.61452543735504,92.53756046295166,129.12027537822723,32.31730937957764,266.5856099128723,96.1904913187027,35.461290031671524,26.061105132102966,65.00021189451218,101.22602701187134,56.553916335105896,76.66290760040283
2,-0.044290006160736084,SAC,182.03730314970016,124.99611854553223,44.29393112659454,35.07813119888306,93.15246403217316,50.39068043231964,36.46504878997803,17.29358422756195,79.8037052154541,11.608643174171448,10.573532223701477,73.22678565979004,34.34907823801041,7.6269033551216125,22.492549270391464,41.37076377868652,66.01545810699463,198.6240804195404,46.0964298248291,277.4658489227295,162.3495101928711,31.931835860013962,22.71909773349762,79.3055322766304,52.6246976852417,73.551225066185,20.455671548843384
3,-0.054237816482782364,SAC,154.05091166496277,114.93500232696533,69.46539521217346,40.162107706069946,98.74136507511139,38.88796329498291,29.368344396352768,12.769988059997559,80.76720356941223,22.707278668880463,11.660963296890259,81.81076884269714,38.80618858337402,7.201071381568909,24.503218829631805,46.94512939453125,57.6012322306633,180.03045797348022,86.14640712738037,172.20900058746338,117.3483943939209,49.49880599975586,40.185394287109375,146.69351279735565,134.04953002929688,41.66589468717575,45.03080427646637
4,-0.033410221338272095,SAC,286.7083775997162,123.67116928100586,44.0994570851326,42.19371855258942,99.4741803407669,33.860080540180206,28.047713041305542,16.97213190793991,87.12186336517334,13.508999049663544,2.561353325843811,70.01554727554321,34.12745052576065,11.189895421266556,25.656455755233765,45.12566924095154,53.1163330078125,167.40276098251343,62.72969722747803,232.5902223587036,42.66381323337555,45.260916352272034,36.90980911254883,64.60498750209808,88.42778325080872,37.71955817937851,19.774935841560364
5,-0.03896613046526909,SAC,166.8478998541832,134.6639633178711,38.62811326980591,22.63758683204651,76.56240224838257,35.06452143192291,16.852855682373047,8.504107475280762,84.01678562164307,24.704368591308594,11.698757886886597,75.39608597755432,33.66909646987915,7.385132014751434,27.89230465888977,43.07313823699951,67.14114308357239,62.57675498723984,80.76603889465332,275.7425284385681,111.226327419281,58.2839560508728,18.15472900867462,76.0306704044342,72.37047076225281,26.567607522010803,69.32433009147644
6,-0.01968505047261715,SAC,192.44470864534378,119.88789081573486,46.08215093612671,42.86046713590622,89.14638817310333,40.08138328790665,32.57977247238159,15.549746036529541,86.24696850776672,12.402855098247528,11.98133111000061,86.68996930122375,50.01070326566696,13.187279850244522,20.426124930381775,30.52617359161377,51.936213970184326,102.22925126552582,52.57293224334717,187.43041038513184,150.51605463027954,17.627087980508804,30.383676290512085,89.14955765008926,90.25769352912903,78.27945828437805,49.61554288864136
7,-0.01804981753230095,SAC,172.39641934633255,123.64624977111816,42.9362370967865,41.06547236442566,94.94261503219604,32.805446088314056,23.894360065460205,14.630630493164062,86.01725697517395,9.356578260660172,6.861386656761169,76.16526663303375,51.71838641166687,5.473710149526596,27.171762883663177,57.047109603881836,78.21875810623169,210.69454789161682,62.83402442932129,156.35586738586426,115.07340908050537,55.83371579647064,52.37938165664673,56.36031150817871,103.51763486862183,21.8237242102623,25.682802200317383
8,-0.02516455203294754,SAC,181.63691997528076,136.507306098938,37.111061215400696,25.76987236738205,103.1240051984787,35.31569719314575,28.73777687549591,10.420659065246582,83.85469913482666,10.999387741088867,9.891870528459549,67.90290713310242,23.144716054201126,6.90872922539711,25.364426374435425,48.33292579650879,85.78087210655212,185.13672292232513,51.03257656097412,303.691565990448,158.5838496685028,13.652586936950684,54.984400272369385,124.34228628873825,79.07644033432007,22.899973392486572,54.69682574272156
9,-0.038687244057655334,SAC,187.54542142152786,106.12698078155518,40.18587952852249,39.98902678489685,108.44464063644409,30.838868618011475,22.162147164344788,16.051313161849976,83.66163313388824,22.06842213869095,3.2623798847198486,64.46903765201569,48.64359921216965,5.844886898994446,33.34146976470947,42.47029495239258,57.245462238788605,120.15640437602997,67.52630710601807,212.5050663948059,162.31641173362732,15.158832222223282,38.35213840007782,169.81162428855896,195.09782314300537,29.538561701774597,21.829676628112793
10,-0.04580821096897125,SAC,295.1919847726822,109.20376300811768,56.847665309906006,37.35789638757706,108.63310158252716,45.05251348018646,35.929787158966064,11.425953984260559,85.55145859718323,12.060181111097336,10.59793996810913,74.61252331733704,43.86024206876755,8.195933997631073,33.00693690776825,49.46413707733154,68.11183035373688,173.99044513702393,80.13045310974121,120.13578772544861,121.51068925857544,16.184851974248886,36.34544372558594,61.60829097032547,127.8132152557373,21.762385368347168,61.45657658576965
11,-0.025422273203730583,SAC,217.4084633588791,113.87864589691162,42.26219892501831,32.67803829908371,107.11835086345673,25.041791677474976,24.259840548038483,23.725032806396484,68.16045641899109,13.531967401504517,11.418570071458817,78.54508578777313,48.41897791624069,6.478118449449539,34.24536436796188,56.84903526306152,72.03240156173706,125.31018853187561,95.85222721099854,219.46839332580566,153.65688920021057,36.36075183749199,24.3192857503891,101.34312868118286,67.36881256103516,27.71954357624054,68.83114457130432
12,-0.049333520233631134,SAC,209.3856543302536,87.13282108306885,41.71368718147278,27.71205461025238,109.1613358259201,36.07030391693115,34.285850524902344,20.845413088798523,84.0779310464859,14.096536576747894,4.572183310985565,75.39767980575562,47.71176940202713,5.586933642625809,32.19001650810242,38.566712379455566,42.80070573091507,95.47521591186523,88.5436201095581,193.77449750900269,74.44990515708923,28.302910923957825,57.06775426864624,80.94996750354767,122.50929594039917,36.215269565582275,61.80571675300598
13,-0.04427330940961838,SAC,155.84109485149384,113.72488975524902,42.609487771987915,42.073423743247986,85.89285522699356,34.390621185302734,27.032672613859177,13.305358469486237,78.87122392654419,9.329775273799896,8.80924916267395,78.76095771789551,28.113972693681717,5.851088762283325,28.083392083644867,30.135987102985382,46.22183132171631,171.99510276317596,36.17577075958252,235.16401290893555,171.84626817703247,19.302771985530853,55.08630633354187,166.5036940574646,49.817408323287964,19.097694754600525,18.925458788871765
14,-0.022601159289479256,SAC,155.8510673046112,111.48272514343262,42.29592144489288,21.255522549152374,105.43529599905014,41.22136831283569,28.324472457170486,4.199976354837418,87.14592099189758,20.91795352101326,10.040390491485596,88.03574442863464,51.26874911785126,5.577675551176071,31.860586404800415,44.50320053100586,61.97381854057312,156.79875254631042,35.84820747375488,172.99696922302246,95.66447794437408,17.452653348445892,13.796976208686829,77.69471764564514,119.42787289619446,93.97180557250977,46.008158922195435
15,-0.0933854952454567,SAC,323.84862542152405,119.31213855743408,40.18241584300995,33.23075431585312,97.20996677875519,45.79043075442314,45.52130699157715,13.479294508695602,84.56148684024811,12.887294799089432,5.996414005756378,79.94293570518494,40.90313756465912,11.851724535226822,11.278299987316132,38.660834312438965,55.82311660051346,161.47661983966827,75.86689472198486,287.69622325897217,53.5891854763031,25.286534428596497,44.83961343765259,107.48577266931534,106.4166259765625,35.40765076875687,36.04644477367401
