,mean,ci_lower,ci_upper,ci_width,std
P,238.46036880742759,222.32650945546908,254.5942281593861,16.133859351958503,50.44739410811201
C_m,88.32916517276317,77.59487557202729,99.06345477349905,10.734289600735874,33.56400512399383
B,12.645438444626052,11.29919842805265,13.991678461199454,1.3462400165734016,4.209426845657078
alpha,0.6425146894151113,0.6020224327299013,0.6830069461003212,0.04049225668520998,0.1266112953363296
F,126.32979477057233,113.36783931801916,139.2917502231255,12.961955452553168,40.52947660333756
beta,0.6106209238024894,0.5593259909173407,0.6619158566876382,0.051294932885148775,0.160389131859646
W_m,68.19096596445888,61.02469642345359,75.35723550546417,7.166269541005288,22.40751056108392
I,29.695486693875864,25.56909688892724,33.82187649882449,4.126389804948623,12.902406559573066
R_c,205.00331647112034,184.88821930274509,225.1184136394956,20.115097168375268,62.895939045905536
C_c,19.367814749130048,17.129525356066125,21.60610414219397,2.238289393063921,6.998689196221083
gamma,0.5811993134964724,0.5248444574023848,0.6375541695905599,0.05635485609408754,0.1762105131367259
R_p,26.977035328745842,26.311867128087414,27.64220352940427,0.6651682006584293,2.079849689697842
C_p,70.7872710544616,64.80958264970832,76.76495945921488,5.977688404753274,18.69105191954418
