run_id,lambda_x,lambda_y,lambda_z,stable,all_strong
1,232.75306141681614,-325.6221085020642,14.589082546126932,False,False
2,157.80887725798942,-202.10698994480626,-51.945280586344666,False,False
3,163.62834455587245,-167.80844721901127,-47.81285150140886,False,False
4,82.28952928483272,-233.96342934534442,-9.59702895667841,False,False
5,188.9651700091132,-188.49336820576409,-21.087379550910647,False,False
6,112.1451329109902,-137.19227419112121,-18.464764162936312,False,False
7,198.7774301767755,-289.83302503911807,-18.371729031401976,False,False
8,123.49035516937556,-184.07697261627766,-5.659450614027232,False,False
9,116.69625739548022,-248.76941066045845,-7.23989650533208,False,False
10,170.55121826236757,-132.98800877389593,-88.29858857766791,False,False
11,128.77514517273568,-175.77006785864884,-20.817393919807618,False,False
12,187.30718160065624,-280.765551501035,-75.76530582359786,False,False
13,171.72580675348408,-276.9475236493168,-54.11986639777961,False,False
14,106.41532848865161,-167.91672729776155,-13.973681890811378,False,False
15,161.71291326539068,-285.345419105789,-28.74110617483692,False,False
16,180.6059317098237,-245.25536951385536,-32.45090744542991,False,False
17,99.18978996071952,-239.54314250223928,-16.904167981574815,False,False
18,168.13160074931923,-214.51582487378556,-29.43848355741427,False,False
19,213.75862825776932,-281.3954664182853,-20.71090430578172,False,False
20,179.14941192087602,-230.81757321953012,-13.178901982617706,False,False
21,149.19208493261658,-150.39594035792157,-14.699273785024346,False,False
22,108.62894008752792,-146.69168019107332,-5.55905005105774,False,False
23,180.15751973981415,-235.8994946327552,-59.59485690437793,False,False
24,54.321387563021915,-255.08104968100363,-12.457186698384444,False,False
25,226.46177989722574,-211.53924478218528,-43.63475585683637,False,False
26,135.6683049613809,-262.2589969768876,-29.122835486135596,False,False
27,147.33773536911642,-217.69104644666143,-37.88665446107074,False,False
28,199.73569721294902,-261.5320666306523,-132.425576518496,False,False
29,169.61952893733658,-219.70492074414625,-51.323028412623295,False,False
30,116.55350338258283,-233.65361469378308,-7.174750634404557,False,False
31,181.97339673330362,-146.86557269109596,-156.14449077566186,False,False
32,142.19967163016256,-185.73792039037477,-3.7813395706837305,False,False
33,56.832476479359045,-239.4580078993875,-23.13769338695893,False,False
34,113.57474193862201,-208.8418939264412,-10.339936965226146,False,False
35,109.30685295525325,-180.20087163425887,-40.946262649022614,False,False
36,80.73535890636273,-114.53287783620078,-25.402356270757874,False,False
37,122.02283503623732,-256.5335541679342,-32.45055294079664,False,False
38,198.17474897806144,-321.67820629568996,-37.383604961837186,False,False
39,152.0388558845418,-235.68431044254928,-31.735696617056917,False,False
40,172.28066154165128,-245.90379343805816,-83.36455046164195,False,False
41,204.64317174973897,-210.57323617120085,-20.92798979672722,False,False
42,161.35769096725525,-208.5480971903527,-17.316564428972704,False,False
43,168.3456370609679,-241.85340361435817,-18.605061404633215,False,False
44,141.00657473335156,-227.87633792907357,-60.8055727516676,False,False
45,165.57902887787728,-252.00293131183201,-38.88889231295826,False,False
46,103.35822570484925,-202.3979588786525,-12.819056865007283,False,False
47,112.8629185877924,-185.17374296031008,-19.22598699598329,False,False
48,124.53637494328136,-188.68511062182955,-8.390712448570408,False,False
49,118.33409710837611,-197.1060497676152,-13.383410730787933,False,False
50,131.54453069913754,-222.613983517386,-19.188748549441804,False,False
51,230.18272254216245,-298.50445039554234,-56.339626417825045,False,False
52,126.39496638638803,-168.6388425525259,-24.84149595938767,False,False
53,87.42463465271419,-207.60405414487533,-46.17321346402616,False,False
54,157.123359675571,-223.5913380315189,-33.28498013898813,False,False
55,98.2516048351226,-237.22279172595054,-11.782228310950936,False,False
56,113.82421878506406,-236.22498389653404,-2.511972770171978,False,False
57,117.01790947971162,-231.84783947784229,-17.429352018919058,False,False
58,94.04776942993117,-229.57255391639103,-33.27603483925684,False,False
59,146.5903716435007,-205.3970278994914,43.30867380288404,False,False
60,158.12170764411306,-252.12461344976228,-37.879198786350784,False,False
61,80.02783564834162,-170.47750878349754,26.259417761956307,False,False
62,146.0949356030327,-227.2436868108379,-35.242648351066556,False,False
63,67.82873316376937,-272.0066882169771,-29.93319623128572,False,False
64,208.50976102223476,-157.41081266657193,-27.14542602003945,False,False
65,183.0490491240952,-209.57169983315163,-61.60523819652361,False,False
66,130.8342016525641,-227.7757318974165,-55.643939012969824,False,False
67,69.31184060799903,-135.315595717425,-17.69546946016315,False,False
68,168.39384383275035,-196.48400507260283,-45.642611310216736,False,False
